Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
1/25/24,Thursday,150.75,Rave tickets/food,Entertainment and Recreation,Debit,Want
1/26/24,Friday,17.98,Food,Food,Debit,Need
1/27/24,Saturday,11.50,Coffee/food,Food,Cash,Need
1/28/24,Sunday,23.73,Food,Food,Debit,Need
1/29/24,Monday,5.75,Coffee,Food,Cash,Want
1/30/24,Tuesday,40,Gas,Travel,Debit,Need
1/31/24,Wednesday,30,Food/Coffee,Food,Cash,Want
2/1/24,Thursday,0,Stayed Home,Financial goals and Savings,Cash,Savings
02/02/24,Friday,15.68,Medicine,Food,Debit,Need
02/03/24,Saturday,0,Stayed home,Financial goals and Savings,Cash,Savings
02/04/24,Sunday,0,Stayed home,Financial goals and Savings,Cash,Savings